model,accuracy,f1_macro,kappa
ShallowConvNet,0.34597204828777245,0.3195634263389229,0.1284385116959729
DeepConvNet,0.3241359914878663,0.2760094297194136,0.09848389432242854
EEGNet,0.3196964095056499,0.29353348921856726,0.09335580496465588
